EA_ID,SITE,ALTERNATIVES
83053,Bramshill Plantation Qy,2/26
83090,Reservoir Aggregates,WRA/43
83094,"Halliford Mere, Shepperton, Tw17",SCC/17904/187
83105,"Stanwell I I I Landfill, Staines",SCC/3637/85
83132,"Sheephouse Farm, Maidenhead, Sl6",54/12/4/33
83137,"Stroud Farm, Bray, Maidenhead, Sl6",54/12/4/14
83138,"Stroud Farm, Bray, Maidenhead, Sl6",54/12/4/319
83203,"Land Adj Junction 8 M25, Reigate, Rh2",WRA/10
83223,"Keepers Corner, Burstow, Rh6",SCC/14429/158
86029,Smallmead Farm,54/12/4/91
86035,Marley Tile Stage 3,54/12/4/155
86036,Midgham Landfill Site,54/12/4/431
86130,Slape Hill 1,OCC/41
86137,Sutton Wick 2,OCC/73
86142,Sutton Wick 2 Extension,OCC/94
86144,Rugby Cement Works,OCC/99
86156,Wheatley Railway Cutting,OCC/135
86174,North End Works,NW/91/0085/WD
