"EA_ID","SITE","ALTERNATIVES"
100767,"Lenham Quarry","DP3696LM"
101333,"Eversley Quarry","FP3497SF"
101752,"Lyme And Wood Pits Landfill","JP3495VN"
102405,"Sandon Quarry","TP3191EW"
103081,"Kennetholme Quarry","AB3730DY"
103211,"Berkswell Quarry","BB3333RH"
103233,"Flixton Quarry","BB3433RC"
103237,"Costessey Quarry","BB3435RV"
103287,"Thurcroft Old Plant Area","BB3730DJ"
103309,"Fairlop Quarry","BB3833AL"
103393,"Bradgate Landfill Site ( Borrow Pit Area)","CB3330RU"
103405,"Coleshill Quarry","CB3339AX"
103487,"Hithermoor Quarry","CB3736RB"
210007,"Bleak Hill 1 Landfill","FP3498SZ"
210046,"Shrubland Quarry Landfill","NP3199VD"
210047,"Wickwar Landfill","EP3931MD"
210051,"Home Farm South Landfill","AB3902FM"
210074,"Chartham Extension Landfill","EP3290VR"
210089,"Park Lodge Landfill Site","AB3701HP"
210099,"Ham Farm Landfill","AB3309MZ"
210108,"Waldringfield Landfill","ZP3930LN"
210109,"Great Westwood Landfill","ZP3832SQ"
210115,"Laleham Landfill","RP3233LJ"
210117,"Allens Bank","BS6904IB"
210120,"Layham Quarry Landfill","AP3832LE"
220001,"Humberfield Gas Utilisation Plant","EB3935RU"
400163,"Ledburn Road Quarry","PB3139AE"
400334,"Barnsdale Bar","AB3007ML"
400427,"Kingsley Quarry Landfill Site","AB3200MW"
401082,"Kingsmead Landfill","BB3102LR"
401214,"Barrington Cement Works","BV1461IV"
402102,"Brightlingsea Inert Landfill","CB3503UE"
402154,"Brotherton Quarry","CB3601GQ"
402244,"Horton Clay Pit","CB3701SZ"
402259,"Hatfield Leachate Treatment Plant","CB3702XD"
402537,"Fair Oak Landfill Site","BK1244IA"
402738,"Chandlers Farm","DB3400KJ"
"75048","Anti Waste Ltd - Centre Basin - Kennett Landfill","QP3392NU"
"73229","Leadenham Landfill Site","XP3798NK"
"103672","Ling Hall Landfill","BU2381IE"
"400679","Path Head Landfill Site","BJ7824IK"
"BJ7786IV","Integra North Energy Recovery Facility",
"DP3236HH","Avonmouth Resource Park EPR/DP3236HH",
