permit,long_name
VP3235SZ,VP3235SZ - Compton Bassett Generation Plant
VP3736TS,VP3736TS - Blackborough End Landfill
WP3130XG,WP3130XG - Kinderton Landfill Site
WP3139LZ,WP3139LZ - shakespeare farm
WP3330BZ,WP3330BZ - Welbeck Landfill Site
WP3434TW,WP3434TW - WARBOYS LANDFILL SITE
WP3438KV,WP3438KV - Springfield Farm Landfill
WP3439SS,WP3439SS - Norwood Farm Landfill (East)
WP3537ZG,WP3537ZG - Blaydon Quarry Landfill Site
WP3933LW,WP3933LW - Oxbow Lake Landfill
XP3232XN,XP3232XN - Skibeden Quarry Landfill Site
XP3434HX,XP3434HX - Shelford Landfill Site
XP3636KW,XP3636KW - Gerrards Cross Landfill
XP3934SL,XP3934SL - Holford Brinefield Landfill Site
YP3030BT,YP3030BT - GAINSBOROUGH LANDFILL
YP3036FB,YP3036FB - Blackborough End Landfill (Green Land)
YP3336FG,YP3336FG - Blackborough End Landfill (Blue Canyon Land)
YP3439SM,YP3439SM - Wingmoor Quarry Landfill
YP3638SX,YP3638SX - Seghill Landfill Site
ZP3035PH,ZP3035PH - Tatchells Landfill Site
ZP3135PC,ZP3135PC - Herniss Farm
ZP3232SF,ZP3232SF - Hartlebury Landfill Site
ZP3434LC,ZP3434LC - Cowpen Bewley Landfill Site
ZP3533GG,ZP3533GG - Margetts Pit SNRHW Landfill
ZP3933LD,ZP3933LD - HILL AND MOOR LANDFILL
10040,"10040 - D-shaped Field, Allington Landfill"
10111,10111 - Castlewood Leachate Lagoon
10214,10214 - Casbrook Leachate Treatment Plant
10281,10281 - Rookery Farm Landfill Site
10285,10285 - Lynn Pit Transfer Station
10299,10299 - Apsley Farm Landfill Site
19408,19408 - Shakespeare Farm Landfill Extension
19412,19412 - Otterham Landfill
19418,19418 - Lower Twydall Chalk Pit
19435,19435 - Ham Farm
19438,19438 - Bramling Lime Works
19450,19450 - Austins Land
19478,19478 - Hartley Bottom Farm
19487,19487 - Margetts Pit Landfill
19490,19490 - Arnold's Lodge Farm
19493,19493 - Harpwood Residential
19514,19514 - Allington Landfill
19518,19518 - Westwood
19535,19535 - Tubslake
19565,19565 - Manor Farm
19572,19572 - Oxted Quarry
19577,19577 - Clackett Lane Pit
19602,19602 - Old Landfill
19616,19616 - Lottbridge Drove Landfill
19620,19620 - Pebsham Landfill Site
19621,19621 - Old Rodmell Cement Works
19638,19638 - Happy Hunting Grounds
19665,19665 - Tulley's Nurseries
19701,19701 - Small Dole Landfill
19706,19706 - Streat Sandpit
19721,19721 - Goldbridge Farm
19728,19728 - Lidsey Landfill Site Extension
19729,19729 - Lidsey Landfill Site
19734,19734 - Plainwood Close
19768,19768 - Downend Chalkpit Landfill Site
19772,19772 - Apsecastle Wood Pit Landfill Site
19773,19773 - Lower Knighton Farm
19775,19775 - Combley Farm Pit Landfill Site
19779,19779 - Landfill At Knighton Sandpit
19791,19791 - Stag Lane Landfill Site
19794,19794 - Cheverton Down Landfill
19799,19799 - Extension To Apple Dell
19800,19800 - Tufton Manor Farm
19806,19806 - Further Common Plantation
19810,19810 - Land Adjacent To Bunny Lane
19811,19811 - How Park
19814,19814 - Ridge Lane Closed Landfill Site
19819,19819 - Land Adjoining Ridge Lane
19831,19831 - Land West Of Marsh Court Road
19852,19852 - Wickham Vineyard
19853,19853 - North East Of Wickham Vineyard
19864,19864 - Brickyard Road
19872,"19872 - Esso Refinery Landfill, Windy Corner"
19875,19875 - Holbury 2
19878,19878 - Esso Petroleum Refinery Landfill
19882,19882 - Holbury 3 Landfill Site
19885,19885 - Ambervale Farm Landfill And Screener
19889,19889 - Dale Farm
19925,19925 - Netley Farm Landfill And Composting Site
19957,19957 - Paulsgrove Landfill Site
19995,19995 - Poundbottom Landfill - Licence C
20009,20009 - Glebe Quarry Ltd
20023,20023 - Anvil Corner Leachate Treatment Facility
20501,20501 - Lower Kergilliack Quarry Landfill Site
20502,20502 - Dukes Quarry Landfill
20503,20503 - R N Baker
20506,20506 - West Chyverton Mine
20507,20507 - Pollawyn Farm Landfill
20510,20510 - Eales Farm Landfill
20511,20511 - Reen Cross Meadow Landfill
20512,20512 - Chypraze Farm
20516,20516 - Tiscott Wood Depot Landfill Site
20517,20517 - Land At Newlyn Downs
20518,20518 - Land At Tresevern Croft
20519,20519 - Lean Farm Landfill
20520,20520 - Land At Trethennal Farm
20521,20521 - Carnsew Quarry Landfill
20523,20523 - Park An Chy Landfill
20524,20524 - Carthew Landfill
20525,20525 - Sticker Reservoir Landfill
